id,company_name,establishment_name,ein,street_address,city,state,zip_code,naics_code,industry_description,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_poisonings,total_respiratory_conditions,total_skin_disorders,total_hearing_loss,total_other_illnesses,establishment_id,establishment_type,size,year_filing_for,created_timestamp,change_reason
1090873,Nouryon,Nouryon Augusta,831179323.0,1616 Marvin Griffin Rd.,Augusta,GA,30906,325180, Sodium aluminate manufacturing ,31,58919,2,0,0,0,0,0,0,0,0,0,0,0,0,563379,1.0,2,2020,1/4/2021 20:01:07,
1091121,Dover Chemical Corporation,Dover Chemical Corporation,391205755.0,3676 Davis Road N.W. ,Dover ,OH,44622,325199, Organo-inorganic compound manufacturing ,174,378198,1,0,0,0,3,0,0,0,0,0,0,0,3,260187,1.0,2,2020,1/5/2021 14:41:38,
1091245,NUTRIEN,NUTRIEN AFO,911589568.0,1011 OAK AVE.,AMERICUS,GA,31709,325311," Fertilizers, mixed, made in plants producing nitrogenous fertilizer materials ",47,96551,2,0,0,0,0,0,0,0,0,0,0,0,0,72999,1.0,2,2020,1/5/2021 16:05:35,
1091336,,Technology Solutions : Mt. Pleasant TN,,7910 Mt. Joy Rd,Mt. Pleasant,TN,38474,325199, ,107,235523,2,0,0,0,0,0,0,0,0,0,0,0,0,650215,1.0,2,2020,1/5/2021 16:59:51,
1091657,CF Industries Nitrogen LLC,"Donaldsonville, LA Complex",640354930.0,39018 Hwy 3089,Donaldsonville,LA,70346,325311, Nitrogenous fertilizer materials manufacturing ,506,1106698,2,0,0,0,0,0,0,0,0,0,0,0,0,82681,1.0,3,2020,1/5/2021 20:04:21,
1091705,Eau Claire Cooperative Oil Company,Eau Claire Cooperative Oil Company,390255640.0,4970 Kane Rd,Eau Claire,WI,54703,325314, Nitrogenous fertilizers made by mixing purchased materials ,130,240877,1,0,3,2,1,26,148,5,0,0,0,1,0,199858,1.0,2,2020,1/5/2021 20:42:59,"Wrong Email for the contact, I never received the confirmation."
1091789,"Innospec, Inc.","Innospec Active Chemicals, High Point",582028171.0,510 West Grimes Ave.,High Point,NC,27260,325199," Esters, not specified elsewhere by process, manufacturing ",79,152921,1,0,0,2,4,0,20,0,0,0,6,0,0,42617,1.0,2,2020,1/5/2021 21:08:05,
1091790,Celanese,Bay City,752622526.0,2001 FM 3057,Bay City,TX,77414,325199, Vinyl acetate (except resins) manufacturing ,54,114014,2,0,0,0,0,0,0,0,0,0,0,0,0,422639,1.0,2,2020,1/5/2021 21:09:14,
1091798,Ashland,"ISP Chemicals, LLC an Ashland Company",,455 North Main Street ,Calvert City,KY,42029,325199, Organo-inorganic compound manufacturing ,480,992730,1,0,0,1,1,0,154,2,0,0,0,0,0,93326,1.0,3,2020,2/17/2021 18:16:07,Restricted Days changed to 154 vs Estimate of 120 as employee has returned to work without restrictions on 2/17/21
1091803,ASI,Calvert City,,455 North Main Street,Calvert City,KY,42029,325199,Specialty Chemicals Manufacturer,480,992730,1,0,0,1,1,0,154,2,0,0,0,0,0,569458,1.0,3,2020,2/17/2021 18:14:52,"Restricted Days estimated at 120 Initially, revised for total of 154 as employee has had restrictions removed."
1092165,Chemol Company Inc.,Chemol Company Inc.,582265455.0,"2300 Randolph Ave., PO Box 16286",Greensboro,NC,27406,325199," Natural nonfood coloring, manufacturing ",38,73164,1,0,4,0,0,210,0,4,0,0,0,0,0,273800,1.0,2,2020,1/6/2021 15:57:29,
1092241,Honeywell,Honeywell/UOP AL37,222640650.0,1 Linde Drive,Chickasaw,AL,36611,325180, Sodium aluminate manufacturing ,277,736980,2,0,0,0,0,0,0,0,0,0,0,0,0,650409,1.0,3,2020,1/6/2021 16:42:43,
1092273,LANXESS Corporation,LANXESS Corporation - Oxone,,2571 Fite Rd - Spot 26,Memphis,TN,38127,325180," Potassium inorganic compounds, not specified elsewhere by process, manufacturing ",45,101597,1,0,0,2,1,0,10,3,0,0,0,0,0,650406,1.0,2,2020,1/6/2021 16:56:58,
1092570,Evans Chemeics,Evans Chemetics,421678029.0,228 E. Main St,Waterloo,NY,13165,325199," Acids, organic, not specified elsewhere by process, manufacturing ",67,119222,1,0,1,0,1,26,0,0,0,0,0,0,2,544114,1.0,2,2020,1/6/2021 19:10:39,
1092599,W R Grace,Grace - Baton Rouge,,1201 Gulf States Utility Road,Baton Rouge,LA,70805,325199, Organo-inorganic compound manufacturing ,162,356851,2,0,0,0,0,0,0,0,0,0,0,0,0,501618,1.0,2,2020,1/6/2021 19:21:19,
1092702,Honeywell ,HoneywellLA26,222640650.0,1200 Airline Highway,Baton Rouge,LA,70805,325180, Sulfur dioxide manufacturing ,54,143244,2,0,0,0,0,0,0,0,0,0,0,0,0,72994,1.0,2,2020,1/6/2021 19:58:39,
1093109,Cabot Corporation,Cabot Corporation Canal Plant,,Highway 317,Franklin,LA,70538,325180, Carbon black manufacturing ,135,293808,2,0,0,0,0,0,0,0,0,0,0,0,0,650578,1.0,2,2020,1/7/2021 13:31:19,
1093241,Chemical Products Corporation,Chemical Products Corporation,580190830.0,102 Old Mill Rd,Cartersville,GA,301204127,325180," Barium compounds, not specified elsewhere by process, manufacturing ",127,254906,1,0,2,1,3,2,210,6,0,0,0,0,0,427521,1.0,2,2020,1/7/2021 15:05:47,
