id,establishment_name,establishment_id,ein,company_name,street_address,city,state,zip_code,naics_code,naics_year,industry_description,establishment_type,size,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_skin_disorders,total_respiratory_conditions,total_poisonings,total_hearing_loss,total_other_illnesses,created_timestamp,change_reason,year_filing_for,sector,zipcode,naics_char
2102143,EMD Electronics,1064343,,EMD Electronics,788 Chert Quarry Rd,Martin,SC,29836,325180,2022.0,"Sodium silicate (i.e., water glass) manufacturing",1.0,2,46,103726,1,0,0,0,1,0,0,1,0,0,0,0,0,02JAN24:17:20:00,,2023,Manufacturing,29836,325180
2102200,"ALTIVIA Specialty Chemicals, LLC",904079,472719354.0,"ALTIVIA Specialty Chemicals, LLC",1901 West H Street,La Porte,TX,77571,325199,2022.0,Phosgene manufacturing,1.0,2,74,152689,2,0,0,0,0,0,0,0,0,0,0,0,0,02JAN24:18:05:00,,2023,Manufacturing,77571,325199
2102591,Texas Organic Enterprises Ltd,954915,208015866.0,Texas Organic Enterprises Ltd,2617 NNE Loop 323,Tyler,TX,75708,325314,2022.0,Compost manufacturing,1.0,2,13,26649,2,0,0,0,0,0,0,0,0,0,0,0,0,02JAN24:21:41:00,,2023,Manufacturing,75708,325314
2102718,Shin-Etsu MicroSi,550689,742552413.0,Shin-Etsu MicroSi,10028 S 51st St,Phoenix,AZ,85044,325199,2022.0,"Carbon organic compounds, not specified elsewhere by process, manufacturing",1.0,2,40,72882,2,0,0,0,0,0,0,0,0,0,0,0,0,02JAN24:22:56:00,,2023,Manufacturing,85044,325199
2103083,Eau Claire Cooperative Oil Company,199858,390255640.0,Eau Claire Cooperative Oil Company,4970 Kane Rd,Eau Claire,WI,54703,325314,2022.0,Nitrogenous fertilizers made by mixing purchased materials,1.0,2,162,298486,1,0,3,0,0,11,0,3,0,0,0,0,0,03JAN24:15:22:00,,2023,Manufacturing,54703,325314
2103335,Westlake Vinyl's Inc.,138370,760542667.0,Westlake Corporation,2468 Industrial Parkway,Calvert City,KY,42029,325199,2022.0,"Plasticizers (i.e., basic synthetic chemicals) manufacturing",1.0,3,419,905136,2,0,0,0,0,0,0,0,0,0,0,0,0,03JAN24:17:12:00,,2023,Manufacturing,42029,325199
2103428,ACS Technical Products,922599,350961723.0,ACS Technical Products,PO Box 190,Griffith,IN,46319,325199,2022.0,"Carbon organic compounds, not specified elsewhere by process, manufacturing",1.0,2,33,66000,2,0,0,0,0,0,0,0,0,0,0,0,0,03JAN24:18:00:00,,2023,Manufacturing,46319,325199
2103474,HoneywellLA26,72994,222640650.0,Honeywell,1200 Airline Highway,Baton Rouge,LA,70805,325180,2022.0,Sulfur dioxide manufacturing,1.0,2,65,159852,1,0,0,0,1,0,0,1,0,0,0,0,0,03JAN24:18:15:00,,2023,Manufacturing,70805,325180
2103534,Ashland,798430,,Specialty Additives & I&S,1111 Hercules Rd,Hopewell,VA,23860,325199,2022.0,Manufacturing,1.0,2,208,432706,1,0,1,0,0,3,177,1,0,0,0,0,0,03JAN24:18:34:00,,2023,Manufacturing,23860,325199
2103546,Hopewell,1066296,,Specialty Additives,1111 Hercules Rd,Hopewell,VA,23860,325199,2022.0,Manufacturing,1.0,2,208,432706,1,0,1,0,0,3,177,1,0,0,0,0,0,03JAN24:18:38:00,,2023,Manufacturing,23860,325199
2103906,"YS, Inc. Collinsville Facility",795886,630828899.0,"YS, Inc.",4531 County Road 458,Collinsville,AL,35961,325180,2022.0,"Copper compounds, not specified elsewhere by process, manufacturing",1.0,1,14,26900,2,0,0,0,0,0,0,0,0,0,0,0,0,03JAN24:20:58:00,,2023,Manufacturing,35961,325180
2103918,WR Grace - FCMS Tyrone Site,799718,650773649.0,W.R. Grace & Co.-Conn.,2858 Back Vail Road,Tyrone,PA,16686,325199,2022.0,"Carbon organic compounds, not specified elsewhere by process, manufacturing",1.0,2,184,363103,2,0,0,0,0,0,0,0,0,0,0,0,0,03JAN24:21:01:00,,2023,Manufacturing,16686,325199
2103923,"YS, Inc. Fort Payne Facility",778790,630828899.0,"YS, Inc.",6001 Gault Ave North,Fort Payne,AL,35967,325180,2022.0,"Copper compounds, not specified elsewhere by process, manufacturing",1.0,1,15,28800,1,0,1,0,0,2,0,1,0,0,0,0,0,03JAN24:21:03:00,,2023,Manufacturing,35967,325180
2103930,Nation Ford Chemical Co.,1066434,570657367.0,Nation Ford Chemical Co.,2300 BANKS ST,Fort Mill,SC,29715,325199,2022.0,"Natural nonfood coloring, manufacturing",1.0,21,78,168434,1,0,0,0,4,0,0,4,0,0,0,0,0,03JAN24:21:06:00,,2023,Manufacturing,29715,325199
2104247,Energis,900145,853002316.0,PHM Brands,5140 Colorado Blvd.,Denver,CO,80216,325180,2022.0,Chlorine dioxide manufacturing,1.0,1,10,16370,2,0,0,0,0,0,0,0,0,0,0,0,0,04JAN24:14:16:00,,2023,Manufacturing,80216,325180
2104442,Milliken and Company - Allen Chemical Plant,1066646,510105342.0,Milliken and Company - Allen Chemical Plant,164 New Milliken Road,Blacksburg,SC,29702,325199,2022.0,"Natural nonfood coloring, manufacturing",1.0,22,215,409258,1,0,0,1,1,0,28,2,0,0,0,0,0,04JAN24:15:34:00,,2023,Manufacturing,29702,325199
2104765,Nouryon,950710,,Nouryon,2701 Road N NE,Moses Lake,WA,98837,325180,2022.0,Sodium chlorate manufacturing,2.0,2,34,72000,2,0,0,0,0,0,0,0,0,0,0,0,0,23JAN24:16:28:00,,2023,Manufacturing,98837,325180
2104846,Sepax Technologies Inc,919411,,55-0787999,"5 Innovation Way, Delaware Technology Park",Newark,DE,19711,325199,2022.0,Organo-inorganic compound manufacturing,1.0,2,59,118000,2,0,0,0,0,0,0,0,0,0,0,0,0,04JAN24:17:06:00,,2023,Manufacturing,19711,325199
